id,name,label,wiki_url,city,country,founded,motto,students,type,website
81,Học viện Nghệ thuật Hoàng gia Nga,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ngh%E1%BB%87_thu%E1%BA%ADt_Ho%C3%A0ng_gia_Nga,Saint-Petersburg,29028°Đ; ﻿ /; 59.93750; 30.29028,,,,Học viện Nghệ thuật Hoàng gia của Đế quốc Nga,
89,Học viện Quân sự Hoa Kỳ,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Qu%C3%A2n_s%E1%BB%B1_Hoa_K%E1%BB%B3,,,1802,Trách nhiệm • Danh dự • Tổ quốc; (Duty • Honor • Country; [; 1; ]; ),,Học viện quân sự liên bang,www.usma.edu
90,Học viện Chính trị Quốc gia Hồ Chí Minh,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ch%C3%ADnh_tr%E1%BB%8B_Qu%E1%BB%91c_gia_H%E1%BB%93_Ch%C3%AD_Minh,,,1949 (75–76 năm trước),,,Học viện công lập,hcma .vn
104,Học viện âm nhạc Curtis,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_%C3%A2m_nh%E1%BA%A1c_Curtis,Philadelphia,Hoa Kỳ,1924 ; 101 năm trước ( 1924 ),,167,Trường tư,Website chính thức
108,Đại học Tiểu bang Kansas,University,https://vi.wikipedia.org/wiki/Kansas_State_University,,,,,,,
125,Đại học New York,University,https://vi.wikipedia.org/wiki/New_York_University,,,,,,,
142,PSL Research University,University,https://vi.wikipedia.org/wiki/PSL_Research_University,Paris ( France ),,2010,,"17,000",,psl .eu
148,Viện Nghiên cứu Chính trị Paris,University,https://vi.wikipedia.org/wiki/Sciences_Po,,,,,,,
152,"Somerville College, Oxford",University,https://vi.wikipedia.org/wiki/Somerville_College,,,,,,,
173,The New School,University,https://vi.wikipedia.org/wiki/The_New_School,Thành phố New York,98333°T; ﻿ /; 40.73333; -73.98333,1919,To the Living Spirit,"10,186 [ 3 ]",Đại học nghiên cứu tư thục,www .newschool .edu
187,Trường Kinh tế và Khoa học Chính trị Luân Đôn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_Lu%C3%A2n_%C4%90%C3%B4n,,,,,,,
188,Trường Kinh tế và Khoa học Chính trị Luân Đôn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_London,,,,,,,
189,Trường Kinh tế và Khoa học Chính trị Luân Đôn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_v%C3%A0_Khoa_h%E1%BB%8Dc_Ch%C3%ADnh_tr%E1%BB%8B_London,,,,,,,
191,Trường Hậu bổ (Hà Nội),University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_H%E1%BA%ADu_b%E1%BB%95_%28H%C3%A0_N%E1%BB%99i%29,,,,,,,
192,Trường Kinh tế Stockholm,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_Stockholm,Stockholm,Thụy Điển,1909,,khoảng 1650 sinh viên toàn thời gian,Tư thục,www.hhs.se
193,Trường Juilliard,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Juilliard,Thành phố New York,98333°T; ﻿ /; 40.77389; -73.98333,1905 ; 120 năm trước ( 1905 ),,"Khoảng 850 sinh viên cao đẳng, khoảng 290 học viên dự bị đại học",Học viện âm nhạc tư thục,www .juilliard .edu
194,Trường Hành chính quốc gia (Pháp),University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_H%C3%A0nh_ch%C3%ADnh_qu%E1%BB%91c_gia_%28Ph%C3%A1p%29,,,1945,,,Công cộng,www.ena.fr
196,Trường Luật Đại học California tại San Francisco,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Lu%E1%BA%ADt_Hastings,,,,,,,
202,Trường Harrow,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Harrow,,,1572 ; 453 năm trước ( 1572 ) ( Hiến chương Hoàng gia ),tiếng Latinh; :; Stet Fortuna Domus; (Let the Fortune of the House Stand); tiếng Latinh; :; Donorum Dei Dispensatio Fidelis; (The Faithful Dispensation of the Gifts of God),,Trường công; Trường tự chủ; Trường nội trú,Bản mẫu:Official url
205,Trường Luật Harvard,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Lu%E1%BA%ADt_Harvard,Cambridge,118552°T; ﻿ /; 42.378102; -71.118552,1817 ; 208 năm trước ( 1817 ),Veritas [ 1 ],"1,990 [ 3 ]",Tư thục,hls .harvard .edu
208,Trường Dịch vụ Đối ngoại,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_D%E1%BB%8Bch_v%E1%BB%A5_%C4%90%E1%BB%91i_ngo%E1%BA%A1i,,,1919 [ 1 ],"Utraque Unum (From both, one)","2,273 [ 1 ]","Đại học tư thục , Đại học giáo dục khai phóng",
210,Trường Bách khoa Paris,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_B%C3%A1ch_khoa_Paris,"Palaiseau , Île-de-France , Pháp",,1794,,2316 (2018),Trường công,www.polytechnique.fr
216,Trường Hành chính quốc gia (Pháp),University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Qu%E1%BB%91c_gia_H%C3%A0nh_ch%C3%ADnh_Ph%C3%A1p,,,,,,,
219,Trường Sĩ quan Chính trị - Đại học Chính trị,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_S%C4%A9_quan_Ch%C3%ADnh_tr%E1%BB%8B,,,,,,,
224,Trường Kinh tế và Khoa học Chính trị Luân Đôn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_v%C3%A0_Khoa_h%E1%BB%8Dc_Ch%C3%ADnh_tr%E1%BB%8B_Lu%C3%A2n_%C4%90%C3%B4n,,,1895,"Rerum Cognoscere Causas ""To Understand the Causes of Things""",,,http://www.lse.ac.uk/
232,"Trường Trung học phổ thông chuyên Chu Văn An, Hà Nội",University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Trung_h%E1%BB%8Dc_ph%E1%BB%95_th%C3%B4ng_Chu_V%C4%83n_An%2C_H%C3%A0_N%E1%BB%99i,,,,,,,
233,"Trường Trung học phổ thông Nguyễn Đình Chiểu, Mỹ Tho",University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Trung_h%E1%BB%8Dc_ph%E1%BB%95_th%C3%B4ng_Nguy%E1%BB%85n_%C4%90%C3%ACnh_Chi%E1%BB%83u_%28Ti%E1%BB%81n_Giang%29,,,,,,,
234,Trường Trung học phổ thông chuyên Quốc Học – Huế,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Trung_h%E1%BB%8Dc_ph%E1%BB%95_th%C3%B4ng_chuy%C3%AAn_Qu%E1%BB%91c_H%E1%BB%8Dc,,,,,,,
240,Trường Sĩ quan Lục quân (Đế quốc Nhật Bản),University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_S%C4%A9_quan_L%E1%BB%A5c_qu%C3%A2n_%28%C4%90%E1%BA%BF_qu%E1%BB%91c_Nh%E1%BA%ADt_B%E1%BA%A3n%29,,,,,,,
244,Trường Trung học Albert Sarraut,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Trung_h%E1%BB%8Dc_Albert_Sarraut,,,1913-1965,,,Lycée,
249,Trường Quân sự Hoàng Phố,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_qu%C3%A2n_s%E1%BB%B1_Ho%C3%A0ng_Ph%E1%BB%91,,,,,,,
253,Đại học Công nghệ Quốc phòng Trung Quốc,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%B4ng_ngh%E1%BB%87_Qu%E1%BB%91c_ph%C3%B2ng_Trung_Qu%E1%BB%91c,,,,,,,
254,Đại học Kinh tế Quốc dân,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Kinh_t%E1%BA%BF_Qu%E1%BB%91c_d%C3%A2n,,,,,,,
255,Trường Đại học Luật Thành phố Hồ Chí Minh,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Lu%E1%BA%ADt_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh,,,30 tháng 3 năm 1996 ; 29 năm trước ( 1996-03-30 ),Sáng tri thức - Vững công minh,,Đại học công lập,www .hcmulaw .edu .vn
256,Đại học Panthéon-Sorbonne,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Paris_I,,,,,,,
257,Trường Đại học Paris II,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Panth%C3%A9on-Assas,,,,,,,
258,Trường Đại học Hà Nội,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_H%C3%A0_N%E1%BB%99i,,,1959; 66 năm trước,HANU brings you to the world; (HANU đưa bạn ra thế giới),,Công lập,https://www.hanu.edu.vn
259,Trường Đại học Khoa học Sài Gòn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_S%C3%A0i_G%C3%B2n,,,,,,,
260,Trường sau đại học,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_sau_%C4%91%E1%BA%A1i_h%E1%BB%8Dc,,,,,,,
261,Trường Đại học Paris II,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Paris_II,,,1971,,,Đại học công lập,http://www.u-paris2.fr/
263,Trường Trung học phổ thông chuyên Quốc Học – Huế,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Trung_h%E1%BB%8Dc_ph%E1%BB%95_th%C3%B4ng_chuy%C3%AAn_Qu%E1%BB%91c_H%E1%BB%8Dc_%E2%80%93_Hu%E1%BA%BF,,,1896,Hiền tài là nguyên khí quốc gia,,Trung học phổ thông Chuyên,Trường Trung học phổ thông chuyên Quốc Học
264,Trường Đại học Lao động Cộng sản Phương Đông,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Lao_%C4%91%E1%BB%99ng_C%E1%BB%99ng_s%E1%BA%A3n_Ph%C6%B0%C6%A1ng_%C4%90%C3%B4ng,,,,,,,
266,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A3ng_Trung_%C6%B0%C6%A1ng,,,,,,,
267,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A3ng_Trung_%C6%B0%C6%A1ng_%C4%90%E1%BA%A3ng_C%E1%BB%99ng_s%E1%BA%A3n_Trung_Qu%E1%BB%91c,,,1933,,,Đảng cộng sản Trung Quốc,www .ccps .gov .cn
268,Trường Đại học Mỏ – Địa chất,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_M%E1%BB%8F_%E2%80%93_%C4%90%E1%BB%8Ba_ch%E1%BA%A5t,,,1966,Đoàn kết - Liêm chính - Trách nhiệm - Sáng tạo - Chất lượng,,Đại học công lập,http://humg.edu.vn
271,Trường Đại học Tổng hợp Thành phố Hồ Chí Minh,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_T%E1%BB%95ng_h%E1%BB%A3p_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh,,,,,,,
276,"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_X%C3%A3_h%E1%BB%99i_v%C3%A0_Nh%C3%A2n_v%C4%83n%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh,,,3 tháng 11 năm 1957 ; 67 năm trước ( 1957-11-03 ),Sáng tạo - Dẫn dắt - Trách nhiệm,,Đại học công lập,www .hcmussh .edu .vn
278,Trường Võ bị Quốc gia Đà Lạt,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_V%C3%B5_b%E1%BB%8B_Qu%E1%BB%91c_gia_%C4%90%C3%A0_L%E1%BA%A1t,,Việt Nam Cộng hòa,,Tự thắng để chỉ huy,,,
281,Học viện Quân sự Hoa Kỳ,University,https://vi.wikipedia.org/wiki/United_States_Military_Academy,,,,,,,
288,Đại học Athens,University,https://vi.wikipedia.org/wiki/University_of_Athens,,,,,,,
290,"Đại học California, Berkeley",University,https://vi.wikipedia.org/wiki/University_of_California%2C_Berkeley,,,,,,,
291,Đại học Chicago,University,https://vi.wikipedia.org/wiki/University_of_Chicago,,,,,,,
299,Đại học Göttingen,University,https://vi.wikipedia.org/wiki/University_of_G%C3%B6ttingen,,,,,,,
302,Đại học Luân Đôn,University,https://vi.wikipedia.org/wiki/University_of_London,,,,,,,
306,Đại học North Carolina tại Chapel Hill,University,https://vi.wikipedia.org/wiki/University_of_North_Carolina_at_Chapel_Hill,,,,,,,
310,Đại học Virginia,University,https://vi.wikipedia.org/wiki/University_of_Virginia,,,,,,,
311,Học viện Công nghệ Georgia,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_C%C3%B4ng_ngh%E1%BB%87_Georgia,,,,,,,
312,Đại học Nam California,University,https://vi.wikipedia.org/wiki/University_of_Southern_California,,,,,,,
316,Viện Hàn lâm Khoa học xã hội thuộc Ủy ban Trung ương Đảng Cộng sản Liên Xô,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_H%C3%A0n_l%C3%A2m_Khoa_h%E1%BB%8Dc_x%C3%A3_h%E1%BB%99i_thu%E1%BB%99c_Trung_%C6%B0%C6%A1ng_%C4%90%E1%BA%A3ng_C%E1%BB%99ng_s%E1%BA%A3n_Li%C3%AAn_X%C3%B4,,,,,,,
317,Università Cattolica del Sacro Cuore,University,https://vi.wikipedia.org/wiki/Universit%C3%A0_Cattolica_del_Sacro_Cuore,,,,,,,
319,Viện Hàn lâm Khoa học Liên Xô,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_H%C3%A0n_l%C3%A2m_Khoa_h%E1%BB%8Dc_Li%C3%AAn_X%C3%B4,,,,,,,
332,Babeș-Bolyai University,University,https://en.wikipedia.org/wiki/Babe%C8%99-Bolyai_University,,,,,,,
334,Viện Công nghệ California,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_C%C3%B4ng_ngh%E1%BB%87_California,,,1891,,,Tư thục,caltech.edu
335,Trường Bách khoa Paris,University,https://vi.wikipedia.org/wiki/%C3%89cole_Polytechnique,,,,,,,
336,Trường Hành chính quốc gia (Pháp),University,https://vi.wikipedia.org/wiki/%C3%89cole_nationale_d%27administration,,,,,,,
337,Viện Khoa học Trung Quốc,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_Khoa_h%E1%BB%8Dc_Trung_Qu%E1%BB%91c,,,,,,,http://www.cas.ac.cn/
339,École nationale des ponts et chaussées,University,https://vi.wikipedia.org/wiki/%C3%89cole_nationale_des_ponts_et_chauss%C3%A9es,,,,,,,
340,École du Louvre,University,https://vi.wikipedia.org/wiki/%C3%89cole_du_Louvre,,,1882,,,Trường công,www.ecoledulouvre.fr
343,École spéciale militaire de Saint-Cyr,University,https://vi.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_militaire_de_Saint-Cyr,,,,,,,
344,École normale supérieure,University,https://vi.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure,,,,,,,
345,Viện Nghiên cứu Chính trị Paris,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_Nghi%C3%AAn_c%E1%BB%A9u_Ch%C3%ADnh_tr%E1%BB%8B_Paris,,,1872,,,"Đại học công lập , Grande école",sciencespo.fr
346,École normale supérieure de Lyon,University,https://vi.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_de_Lyon,,,,,,,
347,Viện Đại học Đông Dương,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_%C4%90%C3%B4ng_D%C6%B0%C6%A1ng,,,,,,,
348,École nationale supérieure des mines de Paris,University,https://vi.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_mines_de_Paris,,,,,,,
358,Đại học Adelaide,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Adelaide,,,1874,"Sub Cruce Lumen; ""The light (of learning) under the (Southern) Cross""",,Đại học công lập,www.adelaide.edu.au
362,Viện Công nghệ Massachusetts,University,https://vi.wikipedia.org/wiki/Vi%E1%BB%87n_C%C3%B4ng_ngh%E1%BB%87_Massachusetts,Cambridge,09194°T; ﻿ /; 42.35972; -71.09194,10 tháng 4 năm 1861 ; 164 năm trước ( 1861-04-10 ),Mens et Manus (tiếng Latinh),"11,886 (2024–25) [ 5 ]",Đại học nghiên cứu tư thục được cấp đất,web .mit .edu
364,Đại học Aarhus,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Aarhus,,,1927,Solidum petit in profundis; (; Latin; ); (Seek a firm footing in the depths),,Đại học công,www.au.dk
365,Đại học Athens,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Athena,,,,,,,
366,Đại học Arkansas,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Arkansas,,,1871,Veritate Duce Progredi; (; Latin; ); (; To Advance with Truth as our Leader; ),,"Public , Khu học sở chính , Land-grant và Space-grant state university",www .uark .edu
368,Đại học Amherst,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Amherst,Amherst,Hoa Kỳ,1821,Terras Irradient ( Latin ),,"Tư thục , Phi lợi nhuận",www .amherst .edu
369,Đại học Amsterdam,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Amsterdam,Amsterdam,89028°Đ; ﻿ /; 52.36833; 4.89028,"1632, trở thành đại học vào năm 1877 ; 148 năm trước ( 1877 )",,"42,171 (2022) [ 5 ]",Đại học công lập,uva .nl
370,Đại học Athens,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Athens,,,3 tháng 5 năm 1837 [ 1 ],,,công lập,www.uoa.gr
372,Đại học Bagdad,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Bagdad,,,,,,,
378,Đại học Tiểu bang Kentucky,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Bang_Kentucky,,,,,,,
379,Đại học bang Ohio,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Bang_Ohio,,,,,,,
385,Đại học Barcelona,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Barcelona,Barcelona,Tây Ban Nha,3 tháng 11 năm 1450 ; 574 năm trước ( 1450-11-03 ),Libertas perfundet omnia luce,"62,995",Đại học công lập,ub .edu
387,Đại học Humboldt Berlin,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Berlin,,,,,,,
389,Đại học Bocconi,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Bocconi,,,,,,,
390,Đại học Basel,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Basel,,,,,,,
391,Đại học Beograd,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Beograd,,,1808 [ 1 ],,,Công,www.bg.ac.rs
392,Đại học Belgrano,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Belgrano,,,11 tháng 9 1964,Ad omnes pro scientia et cultura ( Latin ),,Tư nhân,www.ub.edu.ar
393,Đại học Boston,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Boston,Chestnut Hill,17028°T; ﻿ /; 42.33500; -71.17028,1863 ; 162 năm trước ( 1863 ),Αἰὲν ἀριστεύειν ( tiếng Hy Lạp ),14.559 (Học kỳ Mùa Thu 2019) [ 2 ],Đại học nghiên cứu tư thục,
397,Đại học Bonn,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Bonn,Bonn,Đức,1777; ; 248 năm trước; (; 1777; ); (; Kurkölnische Akademie Bonn; );; 18 tháng 10 năm 1818; ; 207 năm trước; (; 1818-10-18; ); (Đại học Bonn),,"35,619 [ 3 ]",Đại học công lập,uni-bonn .de
398,Đại học Brown,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Brown,Providence,40306°T; ﻿ /; 41.82611; -71.40306,15 tháng 9 năm 1764 ; 261 năm trước ( 1764-09-15 ),In Deo Speramus ( tiếng Latinh ),"10,737 [ 5 ]",Đại học nghiên cứu tư thục,brown.edu
399,"Đại học California, Berkeley",University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_California%2C_Berkeley,,,,,,,
400,Đại học Bách khoa Hồng Kông,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_B%C3%A1ch_khoa_H%E1%BB%93ng_K%C3%B4ng,Hồng Khám,16667°Đ; ﻿ /; 22.30000; 114.16667,1937; 1994 (granted university status),開物成務 勵學利民 [ 1 ],27.088 [ 3 ],Đại học công lập,polyu .edu .hk
401,Đại học Buenos Aires,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Buenos_Aires,,,1821,Argentina Virtus Robur et Studium,,công lập,www.uba.ar
405,Đại học Calcutta,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Calcutta,Kolkata,36194°Đ; ﻿ /; 22.57639; 88.36194,ngày 24 tháng 1 năm 1857 ; Lỗi: Tham số đầu tiên không thể được phân tích như một ngày hoặc thời gian. ( ngày 24 tháng 1 năm 1857 ),Advancement of Learning,"22,520 [ 2 ]",Public,www .caluniv .ac .in
406,Đại học Cairo,University,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Cairo,Giza,21014°Đ; ﻿ /; 30.02760; 31.21014,1908 ; 117 năm trước ( 1908 ),التميز في التعليم الجامعي,207.853+ (2024),Đại học công lập,cu; .edu; .eg; /Home; (; English version; )
